Type,Size,"60% Ascending, no Dup","20% Dup, random","40% Dup, random","No Dup, Random","100% Ascending, No Dup"
int,100,0.0000507,0.000051,0.0000489,0.0000331,0.0000207
int,1000,0.0004901,0.0004907,0.0004842,0.0003151,0.0002291
int,10000,0.0041989,0.0052613,0.0053011,0.0028522,0.0021287
int,50000,0.0231143,0.0308218,0.0299279,0.0165499,0.0118065
int,100000,0.0481594,0.0624035,0.0628179,0.0298255,0.0237476
string,100,0.0001798,0.0001915,0.0001836,0.0001179,0.0001827
string,1000,0.0014931,0.0016534,0.0021977,0.0018379,0.0011294
string,10000,0.016688,0.0192769,0.0193901,0.0187325,0.0148332
string,50000,0.0936463,0.1094031,0.1097516,0.1112208,0.0850867
string,100000,0.193668,0.2324627,0.2276269,0.2395382,0.1659571